epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.165,0.86336,0.59587,1.15582,0.97359,0.92683,0.96393,0.69756,1.04029,0.58066,1.41668,0.000643101,0.000643101,0.000643101
43,141.419,0.87872,0.63887,1.17219,0.99394,0.90244,0.96327,0.7017,1.01313,0.58305,1.37336,0.000628101,0.000628101,0.000628101
44,144.004,0.82135,0.57765,1.13396,0.99552,0.92683,0.96733,0.71098,1.00545,0.5486,1.3449,0.000612981,0.000612981,0.000612981
45,148.002,0.86497,0.60043,1.16178,0.96609,0.92683,0.96484,0.71326,1.01333,0.52973,1.35688,0.000597754,0.000597754,0.000597754
46,151.332,0.84863,0.57965,1.15306,0.94433,0.95122,0.96614,0.70559,1.02437,0.56281,1.38623,0.000582435,0.000582435,0.000582435
47,153.72,0.74334,0.52136,1.08806,0.9277,0.95122,0.95982,0.68992,1.00478,0.65582,1.404,0.00056704,0.00056704,0.00056704
48,156.61,0.81622,0.56917,1.12443,0.95113,0.9494,0.96527,0.72645,0.94211,0.6745,1.36387,0.000551584,0.000551584,0.000551584
49,159.419,0.80882,0.54743,1.10713,0.94992,0.95122,0.96799,0.72906,0.93758,0.59903,1.3731,0.000536081,0.000536081,0.000536081
50,163.503,0.76767,0.53268,1.0663,0.94889,0.95122,0.96975,0.70136,1.0027,0.58792,1.42851,0.000520548,0.000520548,0.000520548
51,166.761,0.79101,0.59152,1.11154,1,0.9416,0.97278,0.68551,1.03035,0.57779,1.44719,0.000505,0.000505,0.000505
52,169.349,0.83707,0.56138,1.13704,0.9755,0.97123,0.97378,0.66618,1.09358,0.51415,1.47468,0.000489452,0.000489452,0.000489452
53,172.37,0.81981,0.5835,1.1371,0.9963,0.95122,0.9736,0.678,1.08214,0.53407,1.41841,0.000473919,0.000473919,0.000473919
54,175.092,0.75075,0.53007,1.08864,0.99661,0.95122,0.9736,0.68924,1.03364,0.48993,1.36053,0.000458416,0.000458416,0.000458416
55,178.805,0.75908,0.54699,1.09641,0.99761,0.95122,0.9736,0.70204,0.96183,0.4826,1.32207,0.00044296,0.00044296,0.00044296
56,182.167,0.81007,0.58434,1.15695,0.99933,0.97561,0.975,0.71643,0.95047,0.48452,1.31867,0.000427565,0.000427565,0.000427565
57,184.768,0.78774,0.55802,1.12271,0.99822,0.97561,0.975,0.72501,0.93359,0.44779,1.32378,0.000412246,0.000412246,0.000412246
58,187.498,0.73039,0.50256,1.06751,0.99819,0.97561,0.975,0.7133,0.95893,0.45346,1.34819,0.000397019,0.000397019,0.000397019
59,189.983,0.76194,0.5069,1.09503,0.99826,0.97561,0.975,0.71849,0.98802,0.44718,1.36445,0.000381899,0.000381899,0.000381899
60,193.714,0.74643,0.51952,1.10794,0.99709,0.97561,0.975,0.732,0.99562,0.44864,1.37049,0.000366899,0.000366899,0.000366899
61,197.491,0.71538,0.47716,1.06548,0.99967,0.97561,0.975,0.73342,1.0194,0.4477,1.38824,0.000352037,0.000352037,0.000352037
62,200.274,0.75486,0.49442,1.10342,0.99148,0.97561,0.975,0.71696,1.06013,0.45468,1.40557,0.000337325,0.000337325,0.000337325
63,202.899,0.73596,0.53965,1.11684,0.95101,0.97561,0.97262,0.69675,1.07708,0.4804,1.41392,0.000322778,0.000322778,0.000322778
64,205.526,0.6893,0.48489,1.06598,0.95077,0.97561,0.9728,0.71216,1.05531,0.4741,1.40343,0.000308412,0.000308412,0.000308412
65,208.568,0.72133,0.50366,1.07457,0.97263,0.97561,0.97329,0.7088,1.0368,0.47531,1.37838,0.000294239,0.000294239,0.000294239
66,213.383,0.68704,0.49113,1.07464,0.97199,0.97561,0.97329,0.72333,1.01562,0.4597,1.37143,0.000280275,0.000280275,0.000280275
67,216.075,0.65859,0.48304,1.03802,0.97234,0.97561,0.97451,0.72986,1.00447,0.44344,1.36671,0.000266532,0.000266532,0.000266532
68,218.824,0.64199,0.46846,1.02826,0.99731,0.97561,0.975,0.72213,0.98012,0.42573,1.35875,0.000253024,0.000253024,0.000253024
69,221.422,0.68175,0.4881,1.04613,0.99736,0.97561,0.975,0.73285,0.9736,0.41946,1.35941,0.000239766,0.000239766,0.000239766
70,225.292,0.71561,0.49882,1.08648,0.9974,0.97561,0.975,0.72747,0.97836,0.41752,1.36537,0.000226769,0.000226769,0.000226769
71,228.801,0.67031,0.44508,1.05421,0.99773,0.97561,0.975,0.73406,0.97663,0.41249,1.36094,0.000214046,0.000214046,0.000214046
72,231.583,0.65399,0.4681,1.05833,0.99773,0.97561,0.975,0.73297,0.95739,0.39143,1.34663,0.000201611,0.000201611,0.000201611
73,234.071,0.6648,0.47776,1.06877,0.99778,0.97561,0.975,0.72812,0.95707,0.38486,1.34704,0.000189475,0.000189475,0.000189475
74,236.818,0.69651,0.47358,1.07762,0.99757,0.97561,0.975,0.74151,0.96595,0.39309,1.34673,0.000177651,0.000177651,0.000177651
75,240.49,0.65834,0.43014,1.04541,0.99759,0.97561,0.975,0.73794,0.97321,0.39034,1.35257,0.000166149,0.000166149,0.000166149
76,243.752,0.66246,0.48023,1.08127,0.99781,0.97561,0.975,0.73545,0.97059,0.378,1.3549,0.000154982,0.000154982,0.000154982
77,247.315,0.64917,0.44979,1.03606,0.99781,0.97561,0.975,0.73468,0.97545,0.38344,1.36642,0.000144161,0.000144161,0.000144161
78,249.932,0.64799,0.44705,1.05184,0.99774,0.97561,0.975,0.73914,0.98093,0.38515,1.37544,0.000133695,0.000133695,0.000133695
79,252.709,0.64548,0.43449,1.05111,0.99727,0.97561,0.975,0.73738,0.97409,0.38427,1.37603,0.000123596,0.000123596,0.000123596
80,256.646,0.66567,0.47049,1.03521,0.99676,0.97561,0.975,0.74402,0.96076,0.38699,1.37415,0.000113873,0.000113873,0.000113873
81,260.193,0.60617,0.41864,1.02179,0.99664,0.97561,0.975,0.7323,0.95565,0.38723,1.37105,0.000104537,0.000104537,0.000104537
82,262.837,0.59132,0.40324,1.0108,0.99642,0.97561,0.975,0.73381,0.96017,0.39113,1.37455,9.55951e-05,9.55951e-05,9.55951e-05
83,265.513,0.58883,0.4139,1.00436,0.99614,0.97561,0.975,0.72864,0.97298,0.39524,1.38351,8.70577e-05,8.70577e-05,8.70577e-05
84,268.08,0.6499,0.45586,1.03357,0.99575,0.97561,0.975,0.72318,0.97187,0.39044,1.38755,7.89327e-05,7.89327e-05,7.89327e-05
85,273.297,0.59317,0.40325,1.00213,0.99547,0.97561,0.975,0.72362,0.95613,0.38314,1.37951,7.12282e-05,7.12282e-05,7.12282e-05
86,276.287,0.60832,0.41255,1.03288,0.99584,0.97561,0.975,0.73486,0.94529,0.37927,1.37614,6.39518e-05,6.39518e-05,6.39518e-05
87,278.977,0.59198,0.43869,1.03575,0.99584,0.97561,0.975,0.732,0.94182,0.37783,1.37362,5.71106e-05,5.71106e-05,5.71106e-05
88,281.627,0.61832,0.46791,1.05164,0.99485,0.97561,0.975,0.73849,0.93842,0.37986,1.3724,5.07115e-05,5.07115e-05,5.07115e-05
89,284.327,0.62837,0.40619,1.03444,0.99403,0.97561,0.975,0.74238,0.93938,0.38003,1.37274,4.47606e-05,4.47606e-05,4.47606e-05
90,288.385,0.57781,0.41666,1.0002,0.99271,0.97561,0.975,0.74039,0.93829,0.38076,1.37155,3.9264e-05,3.9264e-05,3.9264e-05
91,293.549,0.51706,0.41409,0.98313,0.99356,0.97561,0.975,0.74818,0.93836,0.38524,1.3714,3.4227e-05,3.4227e-05,3.4227e-05
92,296.659,0.51211,0.3912,0.96981,0.99646,0.97561,0.975,0.74319,0.9433,0.39302,1.37117,2.96546e-05,2.96546e-05,2.96546e-05
93,299.392,0.50922,0.38353,0.97003,0.997,0.97561,0.975,0.74571,0.95119,0.39843,1.37647,2.55513e-05,2.55513e-05,2.55513e-05
94,303.142,0.48247,0.37194,0.94786,0.9974,0.97561,0.975,0.73783,0.96067,0.40268,1.38246,2.19212e-05,2.19212e-05,2.19212e-05
95,307.203,0.47137,0.35296,0.95131,0.99758,0.97561,0.975,0.74569,0.9672,0.40429,1.38839,1.87678e-05,1.87678e-05,1.87678e-05
96,309.722,0.50302,0.37036,0.973,0.99798,0.97561,0.975,0.73616,0.97308,0.40512,1.39327,1.60943e-05,1.60943e-05,1.60943e-05
97,312.141,0.46984,0.32615,0.94606,0.99795,0.97561,0.975,0.73517,0.97846,0.40199,1.39887,1.39032e-05,1.39032e-05,1.39032e-05
98,314.793,0.49762,0.35332,0.98578,0.99765,0.97561,0.975,0.73546,0.9825,0.40012,1.40571,1.21968e-05,1.21968e-05,1.21968e-05
99,318.673,0.49069,0.32972,0.97925,0.99793,0.97561,0.975,0.73678,0.97533,0.39884,1.40086,1.09768e-05,1.09768e-05,1.09768e-05
100,322.023,0.47383,0.34002,0.95921,0.99812,0.97561,0.975,0.74452,0.96797,0.3939,1.39676,1.02443e-05,1.02443e-05,1.02443e-05
